title,doi,pmid,pmcid,journal,issn,publisher,container_title,first_author,publication_date,publication_tier,paper_url,accession,repository,dataset_url,downloadable,download_status,total_size_bytes,file_count,file_manifest,species,is_human,cancer_type_raw,cancer_type,cancer_subtype,tissue,patient_count,sample_count,section_count,cell_count,gene_panel_size,fresh_frozen_or_ffpe,xenium_panel,xenium_role,xenium_reason,paired_scrna,paired_snrna,paired_histology,paired_protein,paired_clinical,foundation_model_related,model_name,model_task,training_sample_count,training_cell_count,model_code_url,model_weights_url,training_data_public,evidence,evidence_text,confidence_score,manual_review_required,source_updated_at,first_seen_at,last_checked_at,source
TransST: transfer learning embedded spatial factor modeling of spatial transcriptomics data.,,,,,,,,,,,,S-EPMC12593783,BioStudies,https://www.ebi.ac.uk/biostudies/studies/S-EPMC12593783,,,,0,[],,False,,,,,,,,,,,,mentioned_only,Xenium is not substantively described,False,False,False,False,False,False,,,,,,,,[],,0.2,True,,2026-07-17T05:46:42.738402Z,2026-07-17T05:46:42.738402Z,biostudies
SORC: an integrated spatial omics resource in cancer.,,,,,,,,,,,,S-EPMC10768140,BioStudies,https://www.ebi.ac.uk/biostudies/studies/S-EPMC10768140,,,,0,[],,False,,,,,,,,,,,,mentioned_only,Xenium is not substantively described,False,False,False,False,False,False,,,,,,,,[],,0.2,True,,2026-07-17T05:46:42.738393Z,2026-07-17T05:46:42.738393Z,biostudies
MCGAE: unraveling tumor invasion through integrated multimodal spatial transcriptomics.,,,,,,,,,,,,S-EPMC11583448,BioStudies,https://www.ebi.ac.uk/biostudies/studies/S-EPMC11583448,,,,0,[],,False,,,,,,,,,,,,mentioned_only,Xenium is not substantively described,False,False,False,False,False,False,,,,,,,,[],,0.2,True,,2026-07-17T05:46:42.738384Z,2026-07-17T05:46:42.738387Z,biostudies
"Comprehensive molecular characterization of high-stemness gastric cancer cells using single-cell transcriptomics, spatial mapping, and machine learning.",,,,,,,,,,,,S-EPMC12711953,BioStudies,https://www.ebi.ac.uk/biostudies/studies/S-EPMC12711953,,,,0,[],,False,,,,,,,,,,,,mentioned_only,Xenium is not substantively described,False,False,False,False,False,False,,,,,,,,[],,0.2,True,,2026-07-17T05:46:42.738375Z,2026-07-17T05:46:42.738376Z,biostudies
Tumor microenvironment remodeling across thyroid cancer differentiation states revealed by spatial transcriptomics.,,,,,,,,,,,,S-EPMC12583360,BioStudies,https://www.ebi.ac.uk/biostudies/studies/S-EPMC12583360,,,,0,[],,False,,,,,,,,,,,,mentioned_only,Xenium is not substantively described,False,False,False,False,False,False,,,,,,,,[],,0.2,True,,2026-07-17T05:46:42.738369Z,2026-07-17T05:46:42.738369Z,biostudies
Comparative spatial transcriptomics of pancreatic cancer with ductal and acinar origins in mouse models.,,,,,,,,,,,,S-EPMC12301163,BioStudies,https://www.ebi.ac.uk/biostudies/studies/S-EPMC12301163,,,,0,[],,False,,,,,,,,,,,,mentioned_only,Xenium is not substantively described,False,False,False,False,False,False,,,,,,,,[],,0.2,True,,2026-07-17T05:46:42.738362Z,2026-07-17T05:46:42.738362Z,biostudies
SPASCER: spatial transcriptomics annotation at single-cell resolution.,,,,,,,,,,,,S-EPMC9825565,BioStudies,https://www.ebi.ac.uk/biostudies/studies/S-EPMC9825565,,,,0,[],,False,,,,,,,,,,,,mentioned_only,Xenium is not substantively described,False,False,False,False,False,False,,,,,,,,[],,0.2,True,,2026-07-17T05:46:42.738353Z,2026-07-17T05:46:42.738353Z,biostudies
Spatial resolved transcriptomics reveals distinct cross-talk between cancer cells and tumor-associated macrophages in intrahepatic cholangiocarcinoma.,,,,,,,,,,,,S-EPMC11389341,BioStudies,https://www.ebi.ac.uk/biostudies/studies/S-EPMC11389341,,,,0,[],,False,,,,,,,,,,,,mentioned_only,Xenium is not substantively described,False,False,False,False,False,False,,,,,,,,[],,0.2,True,,2026-07-17T05:46:42.738346Z,2026-07-17T05:46:42.738347Z,biostudies
SpaICL: image-guided curriculum strategy-based graph contrastive learning for spatial transcriptomics clustering.,,,,,,,,,,,,S-EPMC12368861,BioStudies,https://www.ebi.ac.uk/biostudies/studies/S-EPMC12368861,,,,0,[],,False,,,,,,,,,,,,mentioned_only,Xenium is not substantively described,False,False,False,False,False,False,,,,,,,,[],,0.2,True,,2026-07-17T05:46:42.738339Z,2026-07-17T05:46:42.738340Z,biostudies
Interpretable spatially aware dimension reduction of spatial transcriptomics with STAMP.,,,,,,,,,,,,S-EPMC11541207,BioStudies,https://www.ebi.ac.uk/biostudies/studies/S-EPMC11541207,,,,0,[],,False,,,,,,,,,,,,mentioned_only,Xenium is not substantively described,False,False,False,False,False,False,,,,,,,,[],,0.2,True,,2026-07-17T05:46:42.738332Z,2026-07-17T05:46:42.738332Z,biostudies
Single-cell and spatial transcriptomics reveal lactylation-associated tumor cell clusters and define a prognostic risk model in glioblastoma.,,,,,,,,,,,,S-EPMC12750639,BioStudies,https://www.ebi.ac.uk/biostudies/studies/S-EPMC12750639,,,,0,[],,False,,,,,,,,,,,,mentioned_only,Xenium is not substantively described,False,False,False,False,False,False,,,,,,,,[],,0.2,True,,2026-07-17T05:46:42.738325Z,2026-07-17T05:46:42.738326Z,biostudies
gwSPADE: gene frequency-weighted reference-free deconvolution in spatial transcriptomics.,,,,,,,,,,,,S-EPMC12464827,BioStudies,https://www.ebi.ac.uk/biostudies/studies/S-EPMC12464827,,,,0,[],,False,,,,,,,,,,,,mentioned_only,Xenium is not substantively described,False,False,False,False,False,False,,,,,,,,[],,0.2,True,,2026-07-17T05:46:42.738316Z,2026-07-17T05:46:42.738317Z,biostudies
Spatial transcriptomics tools allow for regional exploration of heterogeneous muscle pathology in the pre-clinical rabbit model of rotator cuff tear.,,,,,,,,,,,,S-EPMC9531386,BioStudies,https://www.ebi.ac.uk/biostudies/studies/S-EPMC9531386,,,,0,[],,False,,,,,,,,,,,,mentioned_only,Xenium is not substantively described,False,False,False,False,False,False,,,,,,,,[],,0.2,True,,2026-07-17T05:46:42.738309Z,2026-07-17T05:46:42.738310Z,biostudies
STmut: a framework for visualizing somatic alterations in spatial transcriptomics data of cancer.,,,,,,,,,,,,S-EPMC10688493,BioStudies,https://www.ebi.ac.uk/biostudies/studies/S-EPMC10688493,,,,0,[],,False,,,,,,,,,,,,mentioned_only,Xenium is not substantively described,False,False,False,False,False,False,,,,,,,,[],,0.2,True,,2026-07-17T05:46:42.738302Z,2026-07-17T05:46:42.738303Z,biostudies
Identification and transfer of spatial transcriptomics signatures for cancer diagnosis.,,,,,,,,,,,,S-EPMC6958738,BioStudies,https://www.ebi.ac.uk/biostudies/studies/S-EPMC6958738,,,,0,[],,False,,,,,,,,,,,,mentioned_only,Xenium is not substantively described,False,False,False,False,False,False,,,,,,,,[],,0.2,True,,2026-07-17T05:46:42.738290Z,2026-07-17T05:46:42.738290Z,biostudies
Assessment of spatial transcriptomics for oncology discovery.,,,,,,,,,,,,S-EPMC9701619,BioStudies,https://www.ebi.ac.uk/biostudies/studies/S-EPMC9701619,,,,0,[],,False,,,,,,,,,,,,mentioned_only,Xenium is not substantively described,False,False,False,False,False,False,,,,,,,,[],,0.2,True,,2026-07-17T05:46:42.738283Z,2026-07-17T05:46:42.738283Z,biostudies
SURF: A Self-Supervised Deep Learning Method for Reference-Free Deconvolution in Spatial Transcriptomics.,,,,,,,,,,,,S-EPMC12631812,BioStudies,https://www.ebi.ac.uk/biostudies/studies/S-EPMC12631812,,,,0,[],,False,,,,,,,,,,,,mentioned_only,Xenium is not substantively described,False,False,False,False,False,False,,,,,,,,[],,0.2,True,,2026-07-17T05:46:42.738276Z,2026-07-17T05:46:42.738276Z,biostudies
Spatial transcriptomics identifies RBM39 as a gene a<b>ssociated with</b> Gleason score progression in prostate cancer.,,,,,,,,,,,,S-EPMC11625293,BioStudies,https://www.ebi.ac.uk/biostudies/studies/S-EPMC11625293,,,,0,[],,False,,,,,,,,,,,,mentioned_only,Xenium is not substantively described,False,False,False,False,False,False,,,,,,,,[],,0.2,True,,2026-07-17T05:46:42.738269Z,2026-07-17T05:46:42.738270Z,biostudies
Dissection of tumoral niches using spatial transcriptomics and deep learning.,,,,,,,,,,,,S-EPMC11994907,BioStudies,https://www.ebi.ac.uk/biostudies/studies/S-EPMC11994907,,,,0,[],,False,,,,,,,,,,,,mentioned_only,Xenium is not substantively described,False,False,False,False,False,False,,,,,,,,[],,0.2,True,,2026-07-17T05:46:42.738262Z,2026-07-17T05:46:42.738263Z,biostudies
Network models for bridging denoising and identifying spatial domains of spatially resolved transcriptomics.,,,,,,,,,,,,S-EPMC12799013,BioStudies,https://www.ebi.ac.uk/biostudies/studies/S-EPMC12799013,,,,0,[],,False,,,,,,,,,,,,mentioned_only,Xenium is not substantively described,False,False,False,False,False,False,,,,,,,,[],,0.2,True,,2026-07-17T05:46:42.738255Z,2026-07-17T05:46:42.738256Z,biostudies
Integrative single-cell and spatial transcriptomics with explainable AI reveal lethal prognostic axis in prostate cancer.,,,,,,,,,,,,S-EPMC12868606,BioStudies,https://www.ebi.ac.uk/biostudies/studies/S-EPMC12868606,,,,0,[],,False,,,,,,,,,,,,mentioned_only,Xenium is not substantively described,False,False,False,False,False,False,,,,,,,,[],,0.2,True,,2026-07-17T05:46:42.738249Z,2026-07-17T05:46:42.738249Z,biostudies
SpaIM: Single-cell Spatial Transcriptomics Imputation via Style Transfer.,,,,,,,,,,,,S-EPMC11838188,BioStudies,https://www.ebi.ac.uk/biostudies/studies/S-EPMC11838188,,,,0,[],,False,,,,,,,,,,,,mentioned_only,Xenium is not substantively described,False,False,False,False,False,False,,,,,,,,[],,0.2,True,,2026-07-17T05:46:42.738241Z,2026-07-17T05:46:42.738242Z,biostudies
LSGI: interpretable spatial gradient analysis for spatial transcriptomics data,,,,,,,,,,,,S-EPMC12333196,BioStudies,https://www.ebi.ac.uk/biostudies/studies/S-EPMC12333196,,,,0,[],,False,,,,,,,,,,,,mentioned_only,Xenium is not substantively described,False,False,False,False,False,False,,,,,,,,[],,0.2,True,,2026-07-17T05:46:42.738234Z,2026-07-17T05:46:42.738235Z,biostudies
STopover captures spatial colocalization and interaction in the tumor microenvironment using topological analysis in spatial transcriptomics data.,,,,,,,,,,,,S-EPMC11963362,BioStudies,https://www.ebi.ac.uk/biostudies/studies/S-EPMC11963362,,,,0,[],,False,,,,,,,,,,,,mentioned_only,Xenium is not substantively described,False,False,False,False,False,False,,,,,,,,[],,0.2,True,,2026-07-17T05:46:42.738225Z,2026-07-17T05:46:42.738226Z,biostudies
Accurate Spatial Heterogeneity Dissection and Gene Regulation Interpretation for Spatial Transcriptomics using Dual Graph Contrastive Learning.,,,,,,,,,,,,S-EPMC11744562,BioStudies,https://www.ebi.ac.uk/biostudies/studies/S-EPMC11744562,,,,0,[],,False,,,,,,,,,,,,mentioned_only,Xenium is not substantively described,False,False,False,False,False,False,,,,,,,,[],,0.2,True,,2026-07-17T05:46:42.738219Z,2026-07-17T05:46:42.738219Z,biostudies
Cell type identification in spatial transcriptomics data can be improved by leveraging cell-type-informative paired tissue images using a Bayesian probabilistic model.,,,,,,,,,,,,S-EPMC9371936,BioStudies,https://www.ebi.ac.uk/biostudies/studies/S-EPMC9371936,,,,0,[],,False,,,,,,,,,,,,mentioned_only,Xenium is not substantively described,False,False,False,False,False,False,,,,,,,,[],,0.2,True,,2026-07-17T05:46:42.738212Z,2026-07-17T05:46:42.738212Z,biostudies
Visium spatial transcriptomics reveals intratumor heterogeneity and profiles of Gleason score progression in prostate cancer.,,,,,,,,,,,,S-EPMC10698261,BioStudies,https://www.ebi.ac.uk/biostudies/studies/S-EPMC10698261,,,,0,[],,False,,,,,,,,,,,,mentioned_only,Xenium is not substantively described,False,False,False,False,False,False,,,,,,,,[],,0.2,True,,2026-07-17T05:46:42.738205Z,2026-07-17T05:46:42.738205Z,biostudies
Revealing molecular mechanisms of early-onset tongue cancer by spatial transcriptomics.,,,,,,,,,,,,S-EPMC11528053,BioStudies,https://www.ebi.ac.uk/biostudies/studies/S-EPMC11528053,,,,0,[],,False,,,,,,,,,,,,mentioned_only,Xenium is not substantively described,False,False,False,False,False,False,,,,,,,,[],,0.2,True,,2026-07-17T05:46:42.738196Z,2026-07-17T05:46:42.738197Z,biostudies
Molecular dynamics simulation and single-cell and spatial transcriptomics validate immune and prognostic biomarkers in colorectal cancer and construct a clinical prognostic model.,,,,,,,,,,,,S-EPMC12605414,BioStudies,https://www.ebi.ac.uk/biostudies/studies/S-EPMC12605414,,,,0,[],,False,,,,,,,,,,,,mentioned_only,Xenium is not substantively described,False,False,False,False,False,False,,,,,,,,[],,0.2,True,,2026-07-17T05:46:42.738189Z,2026-07-17T05:46:42.738190Z,biostudies
Combined Single-Cell and Spatial Transcriptomics Reveal the Metabolic Evolvement of Breast Cancer during Early Dissemination.,,,,,,,,,,,,S-EPMC9951304,BioStudies,https://www.ebi.ac.uk/biostudies/studies/S-EPMC9951304,,,,0,[],,False,,,,,,,,,,,,mentioned_only,Xenium is not substantively described,False,False,False,False,False,False,,,,,,,,[],,0.2,True,,2026-07-17T05:46:42.738183Z,2026-07-17T05:46:42.738183Z,biostudies
Probabilistic cell/domain-type assignment of spatial transcriptomics data with SpatialAnno.,,,,,,,,,,,,S-EPMC10711557,BioStudies,https://www.ebi.ac.uk/biostudies/studies/S-EPMC10711557,,,,0,[],,False,,,,,,,,,,,,mentioned_only,Xenium is not substantively described,False,False,False,False,False,False,,,,,,,,[],,0.2,True,,2026-07-17T05:46:42.738176Z,2026-07-17T05:46:42.738176Z,biostudies
Inference of cell-type composition and single-cell spatial maps from spatial transcriptomics data with SWOT.,,,,,,,,,,,,S-EPMC12630763,BioStudies,https://www.ebi.ac.uk/biostudies/studies/S-EPMC12630763,,,,0,[],,False,,,,,,,,,,,,mentioned_only,Xenium is not substantively described,False,False,False,False,False,False,,,,,,,,[],,0.2,True,,2026-07-17T05:46:42.738167Z,2026-07-17T05:46:42.738167Z,biostudies
Spatial domains identification in spatial transcriptomics using modality-aware and subspace-enhanced graph contrastive learning.,,,,,,,,,,,,S-EPMC11539238,BioStudies,https://www.ebi.ac.uk/biostudies/studies/S-EPMC11539238,,,,0,[],,False,,,,,,,,,,,,mentioned_only,Xenium is not substantively described,False,False,False,False,False,False,,,,,,,,[],,0.2,True,,2026-07-17T05:46:42.738151Z,2026-07-17T05:46:42.738152Z,biostudies
Deepening into Intracellular Signaling Landscape through Integrative Spatial Proteomics and Transcriptomics in a Lymphoma Model.,,,,,,,,,,,,S-EPMC8699084,BioStudies,https://www.ebi.ac.uk/biostudies/studies/S-EPMC8699084,,,,0,[],,False,,,,,,,,,,,,mentioned_only,Xenium is not substantively described,False,False,False,False,False,False,,,,,,,,[],,0.2,True,,2026-07-17T05:46:42.738142Z,2026-07-17T05:46:42.738143Z,biostudies
